picada,placa,codigo,comum,cap,dap,cc,hc,qf,g,volume,cientifico,familia,obs,categoria,coordx,coordy
62,1552,571,Castanharana branca,194,61.75,65,14,2,0.2995,2.9351,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Porta Semente,588863.1,8893359.531
62,1553,434,Ipê amarelo,198,63.03,65,16,2,0.312,3.4941,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Porta Semente,588766.086,8893355.284
62,1554,511,Sucupira amarela,253,80.53,85,16,1,0.5094,5.7049,"Diplotropis purpurea (Rich,) Amshoff",Fabaceae,,Rara,588620.582,8893380.572
62,1555,716,Manitê,295,93.9,95,16,1,0.6925,7.7563,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588616.363,8893360.573
63,1556,394,Mulateiro,149,47.43,45,15,1,0.1767,1.855,"Calycophyllum spruceanum (Benth,) K, Schum,",Rubiaceae,,Corte futuro,588616.731,8893285.944
63,1557,192,Cumaru ferro,314,99.95,95,18,1,0.7846,9.886,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588621.693,8893286.599
63,1558,571,Castanharana branca,223,70.98,75,16,1,0.3957,4.4322,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588804.247,8893302.796
63,1559,263,Guaribeiro,271,86.26,85,15,2,0.5844,6.1365,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Porta Semente,588828.256,8893319.281
63,1560,263,Guaribeiro,248,78.94,75,18,1,0.4894,6.1669,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588850.537,8893316.798
63,1561,716,Manitê,283,90.08,95,15,2,0.6373,6.6919,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Porta Semente,588846.537,8893307.781
63,1562,160,Caucho,151,48.06,45,10,2,0.1814,1.2701,"Castilla ulei Warb,",Moraceae,,Corte futuro,588843.659,8893317.89
63,1563,61,Aroeira,145,46.15,45,16,1,0.1673,1.8739,Astronium lecointei Ducke,Anacardiaceae,,Corte futuro,588858.264,8893320.644
63,1564,64,Açacu,463,147.38,145,15,2,1.7059,17.9119,"Hura crepitans L,",Euphorbiaceae,,Porta Semente,589033.461,8893330.074
64,1565,154,Castanharana vermelha,214,68.12,65,16,1,0.3644,4.0816,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Porta Semente,589058.618,8893286.59
64,1566,246,Figueira,278,88.49,85,14,1,0.615,6.0271,"Ficus maxima Mill,",Moraceae,,Porta Semente,589064.981,8893273.979
64,1567,64,Açacu,208,66.21,65,16,1,0.3443,3.856,"Hura crepitans L,",Euphorbiaceae,,Explorável,589013.201,8893280.103
64,1568,322,Jutaí,142,45.2,45,15,1,0.1605,1.6848,Hymenaea oblongifolia Huber,Caesalpiniaceae,,Corte futuro,588974.551,8893246.063
64,1569,528,Tamarina,154,49.02,45,13,2,0.1887,1.7174,"Dialium guianense (Aubl,) Sandwith",Caesalpiniaceae,,Corte futuro,588935.042,8893258.988
64,1570,182,Copaíba,262,83.4,85,16,1,0.5463,6.118,Copaifera multijuga Hayne,Caesalpiniaceae,,Porta Semente,588916.413,8893267.116
64,1571,577,Marfim roxo,261,83.08,85,14,1,0.5421,5.3125,"Aspidosperma desmanthum Benth, ex M³ll, Arg,",Apocynaceae,,Explorável,588873.502,8893256.173
64,1572,571,Castanharana branca,173,55.07,55,16,1,0.2382,2.6675,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588868.792,8893264.749
64,1573,160,Caucho,182,57.93,55,12,1,0.2636,2.2142,"Castilla ulei Warb,",Moraceae,,Explorável,588821.873,8893248.802
64,1574,168,Cedro rosa,116,36.92,35,11,1,0.1071,0.8245,"Cedrela odorata L,",Meliaceae,,Corte futuro,588791.605,8893261.139
64,1575,513,Sumauma branca,395,125.73,125,18,1,1.2416,15.6443,"Ceiba pentandra (L,) Gaertn,",Malvaceae,,Explorável,588752.865,8893280.215
64,1576,571,Castanharana branca,129,41.06,45,14,2,0.1324,1.2978,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Corte futuro,588757.895,8893263.594
64,1577,394,Mulateiro,189,60.16,65,17,1,0.2843,3.3827,"Calycophyllum spruceanum (Benth,) K, Schum,",Rubiaceae,,Explorável,588683.971,8893245.823
64,1578,516,Sumauma preta,247,78.62,75,10,2,0.4855,3.3985,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588657.406,8893265.658
64,1579,571,Castanharana branca,198,63.03,65,18,1,0.312,3.9309,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Explorável,588653.971,8893265.907
64,1580,394,Mulateiro,223,70.98,75,16,1,0.3957,4.4322,"Calycophyllum spruceanum (Benth,) K, Schum,",Rubiaceae,,Explorável,588652.303,8893260.193
64,1581,157,Catuaba,197,62.71,65,17,1,0.3088,3.6751,"Qualea tessmannii Mildbr,",Vochysiaceae,,Porta Semente,588611.62,8893269.755
65,1582,516,Sumauma preta,210,66.85,65,12,3,0.3509,2.9479,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Porta Semente,588560.792,8893221.784
65,1583,516,Sumauma preta,236,75.12,75,12,1,0.4432,3.723,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588564.482,8893174.432
65,1584,516,Sumauma preta,233,74.17,75,13,2,0.432,3.9314,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588716.547,8893204.249
65,1585,516,Sumauma preta,192,61.12,65,13,1,0.2934,2.6695,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588778.985,8893221.205
65,1586,168,Cedro rosa,129,41.06,45,14,1,0.1324,1.2978,"Cedrela odorata L,",Meliaceae,,Corte futuro,588796.168,8893214.99
65,1587,374,Marupá,228,72.57,75,15,1,0.4137,4.3436,"Simarouba amara Aubl,",Simaroubaceae,,Explorável,588847.379,8893213.047
65,1588,160,Caucho,140,44.56,45,11,1,0.156,1.201,"Castilla ulei Warb,",Moraceae,,Corte futuro,588890.645,8893222.802
65,1589,154,Castanharana vermelha,233,74.17,75,17,1,0.432,5.141,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,,Explorável,588934.371,8893221.546
65,1590,434,Ipê amarelo,160,50.93,55,18,1,0.2037,2.5669,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Porta Semente,588971.352,8893215.402
66,1591,64,Açacu,410,130.51,135,17,1,1.3377,15.9186,"Hura crepitans L,",Euphorbiaceae,,APP,589034.214,8893158.507
66,1592,516,Sumauma preta,203,64.62,65,12,2,0.3279,2.7546,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,APP,589019.09,8893168.517
66,1593,516,Sumauma preta,173,55.07,55,11,1,0.2382,1.8339,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,APP,588989.61,8893165.086
66,1594,264,Guariúba,150,47.75,45,14,1,0.179,1.7547,"Clarisia racemosa Ruiz & Pav,",Moraceae,,APP,588957.331,8893155.1
66,1595,716,Manitê,283,90.08,95,17,1,0.6373,7.5842,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,APP,588954.313,8893156.924
66,1596,505,Seringueira,,,#VALUE!,,,,,"Hevea brasiliensis (Willd, ex A, Juss) M³ll, Arg",Euphorbiaceae,,APP,588927.866,8893131.548
66,1597,322,Jutaí,157,49.97,45,15,1,0.1962,2.0596,Hymenaea oblongifolia Huber,Caesalpiniaceae,,Corte futuro,588926.162,8893133.23
66,1598,513,Sumauma branca,471,149.92,145,20,1,1.7654,24.715,"Ceiba pentandra (L,) Gaertn,",Malvaceae,,Explorável,588879.179,8893151.27
66,1599,304,Jatobá,265,84.35,85,18,2,0.5588,7.0413,"Hymenaea courbaril L,",Caesalpiniaceae,,Rara,588885.997,8893155.48
66,1600,160,Caucho,185,58.89,55,11,3,0.2724,2.0971,"Castilla ulei Warb,",Moraceae,Oco,Porta Semente,588780.814,8893180.355
66,1601,374,Marupá,196,62.39,65,15,1,0.3057,3.2099,"Simarouba amara Aubl,",Simaroubaceae,,Porta Semente,588764.347,8893137.604
66,1602,160,Caucho,131,41.7,45,14,1,0.1366,1.3383,"Castilla ulei Warb,",Moraceae,,Corte futuro,588696.788,8893119.187
66,1603,192,Cumaru ferro,375,119.37,115,17,1,1.1191,13.3168,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Explorável,588669.123,8893110.154
66,1604,255,Garapeira,151,48.06,45,15,2,0.1814,1.9052,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Corte futuro,588578.014,8893134.744
66,1605,263,Guaribeiro,188,59.84,55,17,1,0.2813,3.347,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588568.594,8893146.734
67,1606,716,Manitê,223,70.98,75,16,1,0.3957,4.4322,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588572.128,8893114.752
67,1607,577,Marfim roxo,149,47.43,45,12,2,0.1767,1.484,"Aspidosperma desmanthum Benth, ex M³ll, Arg,",Apocynaceae,,Corte futuro,588662.091,8893078.279
67,1608,160,Caucho,113,35.97,35,11,1,0.1016,0.7824,"Castilla ulei Warb,",Moraceae,,Corte futuro,588685.345,8893083.152
67,1609,716,Manitê,355,113,115,15,1,1.0029,10.5302,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,,Explorável,588707.561,8893080.188
67,1610,516,Sumauma preta,207,65.89,65,15,1,0.341,3.5803,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,,Explorável,588753.934,8893101.882
67,1611,192,Cumaru ferro,170,54.11,55,18,1,0.23,2.8977,"Dipteryx odorata (Aubl,) Willd,",Fabaceae,,Porta Semente,588766.649,8893106.216
67,1612,263,Guaribeiro,220,70.03,75,17,1,0.3852,4.5833,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,588800.495,8893102.935
67,1613,255,Garapeira,188,59.84,55,19,1,0.2813,3.7407,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,588916.215,8893122.985
67,1614,513,Sumauma branca,273,86.9,85,20,1,0.5931,8.3032,"Ceiba pentandra (L,) Gaertn,",Malvaceae,,APP,588956.249,8893103.525
68,1615,64,Açacu,435,138.46,135,16,2,1.5058,16.865,"Hura crepitans L,",Euphorbiaceae,,APP,588994.632,8893059.388
68,1616,45,Angico,239,76.08,75,15,1,0.4546,4.7728,"Parkia nitida Miq,",Mimosaceae,,Explorável,588914.218,8893043.422
